"ID","Name","Category","Description","OrgSyncID"
45,"Club Sports Council","Club Sports","The Club Sports Council is designed to serve the interests of Xavier University by providing opportunities for Xavier University students, faculty, and staff to continue participating or learn a new sport/recreational activity. While Club Sports fall on a competitive level between intramurals and intercollegiate athletics, the member's involvement in the Clubs is structured to be a learning experience for the members through their involvement in the organization and administration of club activities as well as the development of sports skills.

As the members are active participants in the leadership and decision making process of the clubs, clubs may vary in focus and programming. The teams hold practices two to four times per week and all of clubs are required to have a coach. The clubs do not have large budgets; therefore the clubs must fundraise and charge membership dues to subsidize their existence. The teams compete against other club teams from universities throughout the Midwest such as Indiana University, University of Kentucky, Ohio State University, Miami of Ohio, and the University of Cincinnati. Many of the club sports play in leagues and can compete for a national championship. Participation in the Club Sports Council is an excellent way to develop leadership skills, meet new friends with similar interests, stay in shape and enhance athletic skills.",32639
46,"Club Swimming","Club Sports","Club Swimming is a co-ed swimming program at the collegiate club level. Club Swimming holds four practices per week with one of those practices as a dry land. Club swimming relatively attends frequent meets and invitationals both at home and at other schools. All skill levels are welcome.",37699
47,"Club Tennis","Club Sports","Xavier University Club Tennis strives to provide an enjoyable and competitive way for Xavier students to play tennis with other students, as well as other competing schools. Club Tennis is intended to be much less time consuming than a varsity tennis program would be. The aim is to include all Xavier students and uphold the Jesuit tradition.",37871
48,"Club Triathlon","Club Sports","Triathlon Club aims to provide students with the opportunity to participate in multi-sport races and to promote an active lifestyle through competition, training, and team-building.",38748
49,"Club Water Polo","Club Sports","Xavier Water Polo offers a competitive environment in which players, new and experienced, can travel to nearby schools and tournaments to compete. All are welcome.",62468
50,"Coalition for Christian Outreach","Spirituality","Coalition for Christian Outreach (CCO) calls students to serve Jesus Christ with their entire lives. CCO seeks to create a space in which students can explore the claims of Jesus Christ, grow in their faith while developing habits of worship and prayer, and develop an understanding of how their faith impacts every area of life, including academic studies and future vocations.",33287
51,"College Democrats","History, Law & Politics","College Democrats promotes liberal, progressive causes on campus and to engage the student body in constructive dialogue on various political issues.",34376
52,"College Republicans","History, Law & Politics","College Republicans is a political student organization credentialed by the Ohio College Republican Federation, dedicated to the advancement of the ideals, motives, and values of the Grand Old Party, the Republican National Committee, and any local, state, or national Republican candidate identifying themselves for the cause. The XU College Republicans shall educate members of the Xavier University community about the values and principles of the Republican Party. The XU College Republicans shall aid in the campaigning for and election of Republican candidates at the local, state and national levels.The XU College Republicans shall actively seek to develop and improve upon the political skills and leadership abilities of its members in preparation for future service to the Republican Party and their community. The XU College Republicans shall provide support for any student within the scope of Xavier University's community who chooses to identify himself/herself as a Conservative or a Republican.",33541
53,"Colleges Against Cancer","Service & Social Justice","Colleges Against Cancer is a club that is based on promoting cancer education, advocacy for bills that will help raise cancer awareness and research, reaching out to those who have been affected by cancer, and supporting the Relay for Life of Xavier University in order to raise money for the American Cancer Society, who promotes cancer research and programs for survivors.",33405
54,"Commuter Activities Board","General Interests","Commuter Council serves as a resource for commuter students and to advocate for the unique needs and challenges of this student population. We are committed to providing services and programs that will enhance commuter involvement and connections to the Xavier community.",34447
55,"Computer Science Club","STEM","The Computer Science Club (CSC) is an academic group of computer inclined people. The goal of CSC is to promote education and interest in computer science fields, along with connecting students sharing an interest in technology.",33259
56,"Criminal Justice Society","History, Law & Politics","The Criminal Justice Society (CJUS Society) is the official club of the Criminal Justice Department. Open to all Criminal Justice majors, minors, and those who are interested in the field, the CJUS Society provides an opportunity to learn about the large variety of areas of study within the Criminal Justice System.",85168
57,"Delta Sigma Pi - Professional Fraternity","Business","Delta Sigma Pi is a professional fraternity organized to foster the study of business in universities; to encourage scholarship, social activity and the association of students for their mutual advancement by research and practice; to promote closer affiliation between the commercial world and students of commerce; and to further a higher standard of commercial ethics and culture and the civic and commercial welfare of the community.",33322
58,"Delta Sigma Theta Sorority, Inc.","Identity","Delta Sigma Theta Sorority, Inc. is a non-profit organization of college educated women committed to constructive development of its members and to public service with a primary focus on the Black community. The major programs of the sorority are based upon the organization's Five Point: programmatic thrust, economic development, educational development, international awareness and involvement, physical and mental health, and political awareness and involvement.",35712
59,"Distance4Dreams","Service & Social Justice","Distance4Dreams is dedicated to raising money through hard work, sweat, and distance to grant the wishes of children with life threatening illnesses. Distance4Dreams aims to grant the wishes of, but is not limited to, children who wish to go to Disney World. Distance4Dreams travels to Disney World at the same time and spends time with the wish child and his or her family. While at Disney, Distance4Dreams members run in the half and/or full marathons as a part of the fundraiser to grant the wishes.",33538
60,"Don't Tell Anna","Arts","Don't Tell Anna (DTA) is an improvisational comedy group that provides an alternative entertainment option to students on campus. The troupe combines the two types of improv, long-form and short-form, into monthly performances that are free of charge.",102654
61,"Economics Association","Business","The Xavier University Economics Association is a campus club dedicated to allowing Economics and Business majors to explore opportunities that the field of Economics has to offer.",33218
62,"Educators for Justice","Education","Educators for Justice's mission is to foster an individual's spiritual, intellectual, and moral growth through professional development, service, and community building. Educators for Justice strives to unite all education majors in an attempt to network, accept diversity, and build lasting relationships.",33451
63,"Embrace Evanston","Service & Social Justice","Embrace Evanston addresses educational inequality through an aggressive and intentionally designed youth development campaign in Xavier's neighboring community of Evanston. Embrace Evanston also supports ambitious student-resident and/or university-community initiatives. Embrace Evanston's mission statement is: preparing young boys to become men by instilling academic excellence, combined with morals and values aimed toward self-respect and motivation, positively impacting the community.",59769
64,"Entrepreneurship Club","Business","Entrepreneurship Club allows members to collaborate, innovate, and discover what it means to be an entrepreneur. The club is partnering with Xavier's new student run business program, D'Artagnan Enterprises. This will provide students with the finest opportunity for experiential learning. Members will also engage with Cincinnati's StartUp Ecosystem. Visits to the Brandery, Cintrifuse, OCEAN, and UpTech will be common throughout the year.",33831
65,"Eta Sigma Phi - Classics Honor Society","Language & Culture","Eta Sigma Phi is the national honorary collegiate society for students of Latin and/or Greek. The purposes of the Society, in the words of the Constitution, are \"to develop and promote interest in classical study among the students of colleges and universities; to promote closer fraternal relationship among students who are interested in classical study, including inter-campus relationship; to engage generally in an effort to stimulate interest in classical study, and in the history, art, and literature of ancient Greece and Rome.\"",33380
67,"Exceptional Student Assembly","Service & Social Justice","Exceptional Student Assembly provides professional development and service opportunities for students interested in a career working with children and adults with disabilities.",33434
68,"Finance Association","Business","Financial Management Association enhances the experience of Xavier Finance undergraduate students by providing opportunities to network with finance executives, learn about finance careers, and bond with fellow finance majors.",33692
69,"French Club","Language & Culture","French Club aims to engage students in programming related to the French language and the cultures of Francophone (French-speaking) countries in order to broaden their international knowledge and understanding.",33433
70,"Gentlemen Organized for Achievement and Leadership","Identity","Gentlemen Organized for Achievement and Leadership (GOAL), equip men of color with the values of academic excellence, progressive professionalism, and a commitment to their communities. Through knowledge of the past and confidence in their abilities, GOAL fulfills their obligation to promote a more inclusive Xavier University and greater society.",33321
71,"German Club","Language & Culture","Xavier University German Club is open to all German and non German speakers, regardless of level, only requiring an interest in the language and/or culture. German Club attends German events that are happening in the Cincinnati community and makes frequent trips to local German restaurants.",33202
72,"Habitat for Humanity","Service & Social Justice","Habitat for Humanity's mission is to raise money and awareness for sub-standard housing in the Cincinnati area. Through fundraising and volunteer efforts, Habitat for Humanity supports Cincinnati in the construction of homes in the community.",33300
74,"Health Services Society","Health & Wellness","Health Services Society is designed to provide students entering the management aspect of the health care field an opportunity to develop effective leadership skills, access to information on careers, as well as work hands on in their career field. It is open to any Xavier Students that are interested in health care.",59722
75,"Her Campus Xavier","Publications & Media","Her Campus Xavier (HCXU) is an online magazine with fun articles and how-tos, Campus Profiles, and Xavier relevant articles. HCXU, a chapter of HerCampus, strives to provide interesting and engaging content for the student body at Xavier University.",112669
76,"History Club","History, Law & Politics","The purpose of the History Club is to enhance and promote the appreciation of history and historical scholarship in the Xavier University community and to make such proceeding enjoyable.",33427
78,"Honors Council","Honors","Honors Council promotes engagement between honors and non-honors students, to provide opportunities for extracurricular intellectual and artistic expression, and to encourage informal academic discourse among the Xavier community; all in order to further Xavier's primary mission of interactive education.",42396
79,"In The Loop","General Interests","In The Loop's purpose as an organization is to bring members together through fiber art and yarn craft. In knitting, crocheting, weaving, spinning, cross stitching, and the like, they strive to promote and improve on the craft together. In The Loop seeks to enrich the Xavier and Cincinnati communities enthusiastically and skillfully through education of craft and collection of project donations. They are focused on creating group-wide projects to donate to local causes and charities. In The Loop also strives to teach fellow club members and any individual who demonstrates interest in learning fiber art and yarn crafts. Through participating in traditionally social events, In The Loop promotes inclusivity and connection between fiber artists of all skill levels and varieties.",134558
80,"Information Systems Club","STEM","The purpose of Information Systems Club is to encourage the relationship between Information Systems students and professionals within the technology industry. Furthermore, the organization hopes to increase awareness and utilization of different IT resources.",33440
81,"International Animation","Arts","The International Animation Club (XUIAC) would like to support the Jesuit Mission of Xavier by cultivating diversity among peers through the different mediums of animation from all over the globe. Animation is considered a cultural force and XUIAC wants to bring it to campus for all Xavier students to enjoy and be a part of. XUIAC's discussions range from anime, cartoons, comics, video games and more.",106149
82,"International Business Association","Business","International Business Association (XIBA) focuses on providing club members with ample opportunities to branch out into global commerce, strengthening ties between the club and the business community.  XIBA has hosted guest speakers, had study abroad Q&A sessions, planned numerous cultural dinners, and are active members of both the European American Chamber of Commerce and the Greater Cincinnati Chinese Chamber of Commerce. The mission of XIBA is to foster an international perspective in students of business, to help develop an understanding of commerce in a global setting, and to encourage intercultural engagement in all members. Also, XIBA aims to interact with the community in a positive way to both better their neighbors and learn themselves.",33245
83,"Ladies with Emphasis on Achievement and Distinction","Identity","Ladies with Emphasis on Achievement and Distinction's (L.E.A.D.) duty is to enrich their lives and minds through academic achievement and personal development; empowering themselves to achieve success in an environment that is positive and nurturing to the purpose of sisterhood. L.E.A.D.promotes and encourages distinction, and seeks to improve their character through education, exploration, and professionalism. L.E.A.D. recognizes that in order to grow together, they must move as one.",33366
84,"LGBTQ+ Alliance","Identity","The Xavier LGBTQ+ Alliance is established to provide a safe place for people of all sexual orientations and gender identity to meet, offer opportunities to learn, teach and discuss the challenges surrounding sexual orientation and gender identity within the Jesuit teachings of being people for others. The Xavier LGBTQ Alliance is open to people of any sexual orientation and gender identity and their goal is to bridge the gaps between persons of all sexual and gender identities. Meetings are open to anyone, no matter how you identify; no pressure is put on any member and there are no assumptions made about anyone in the group. All meetings are confidential and attendees need only share what they want. Please e-mail them with any questions, comments, or concerns.",33413
85,"Life After Sunday","Spirituality","Life After Sunday provides students with practical means for integrating their Catholic faith into everyday life. Life After Sunday does this primarily by praying the Rosary, studying the Bible, sponsoring Eucharistic Adoration, hosting Lord's Day dinners, and hosting Holy Power Hours. The club chose the name \"Life After Sunday\" because they think that living the Catholic faith is more than just going to Sunday Mass. To live a truly authentic Catholic life, we are called to seek Christ daily through prayer.",32953
86,"Mathematics Club","STEM","The purpose of the Xavier University Mathematics Club is to promote the interest of mathematics at Xavier University and to aid mathematics students or anyone with an interest in math to promote an interaction among math undergraduates, graduates, and faculty. Also, Mathematics Club link students to the worldwide mathematical community.",33095
87,"Men's Club Lacrosse","Club Sports","Xavier Men's Club Lacrosse's mission is to have a fun time playing lacrosse while also being very competitive on the playing field.",38333
88,"Men's Club Rugby","Club Sports","The purpose of Men's Club Rugby is to provide a competitive team for collegiate players to play rugby at Xavier University. Rugby games are on Saturdays at 1:00 PM. Men's Club Rugby plays nearly every weekend in both the fall and spring.",38415
89,"Men's Club Soccer","Club Sports","Men's Club Soccer is a competitive team who strives to compete well on the field and be role models off the field.",38371
90,"Men's Club Ultimate Frisbee","Club Sports","Men's Club Ultimate Frisbee is a competitive club sports program that practices a few days a week and travels the country to play in tournaments throughout the year. The club is a fun-loving bunch of people, most of whom come in with no previous ultimate experience. They encourage anyone and everyone to come out and join.",38716
91,"Men's Club Volleyball","Club Sports","Xavier Men's Club Volleyball provides an opportunity for students to join an organization outside of academics. Xavier Men's Club Volleyball practices twice a week, and they approximately go to 2-3 tournaments a semester as well as Nationals. Whether you have prior volleyball experience or not, anyone is able to join the team.",50335
92,"Mini Muskies","Service & Social Justice","Mini Muskies is a yearlong mentorship club that partners with students from St. Francis de Sales school, five minutes from Xavier's campus. Mentors and mentees build relationships through participation in weekly after-school enrichment activities and semester field trips around Cincinnati. The objectives of the program include: improve students' understanding of the importance of higher education - ultimately increasing their desire to attend college, boost students social and emotional health, and create strong relationships with positive role models.

Mini Muskies has a long history of accomplishing the aforementioned objectives. For example, students measurably increased their self-esteem, hope, and problem-solving skills. Additionally, the program increased students' views of the importance of school and their ability to succeed academically as well as their plans to attend college. The one-on-one relationship building through mentorship has been a rewarding and uplifting factor for both Xavier and St. Francis students. Mini Muskies is looking for mentors willing to be part of this yearlong commitment to the program.",137576
93,"Mock Trial Team","History, Law & Politics","Mock Trial Team is a club that consists of students interested in law or acting. Students interested in law have the option to play the role of a mock attorney, and students who are interested in acting have the option to play a mock witness (without having to do the legal work). However, students do have the option of playing the part of both an attorney and a witness. All members will assist in preparing the case given, and all members compete in invitationals at the regional tournament, the super-regional tournament, and potentially the national tournament. Each tournament consists of four rounds. During each round the mock attorneys and witnesses present one side of the case against another school's team in a courtroom. The overall purpose of Mock Trial Team is to develop legal and trial skills and to prepare prospective law students for law school and the legal world. Members will gain trial experience in a \"mock\" setting and also learn from a team of Cincinnati area attorneys and former Mock Trial participants who serve as coaches.",32848
95,"Montessori Education Club","Education","The Montessori Education Club works to build on the sense of community for Montessori majors both on and off campus.",106147
96,"Mortar Board","Honors","Mortar Board is the premier national honor society recognizing college seniors for superior achievement in scholarship, leadership, and service. Mortar Board provides opportunities for continued leadership development, promotes service to colleges and universities, and encourages lifelong contributions to the global community.",38823
97,"Muskie Tigers","Service & Social Justice","Muskie Tigers is a mentor-based program for the refugee/immigrant population at Withrow High School. Xavier mentors exercise tutoring, socializing, and team-building to evoke a healthy relationship to contribute to the mentees' academic, emotional and social development. Muskie Tigers provides resources through workshops and campus events to initiate the conversation for higher education after high school. This program allows Xavier University students to become leaders in their community outside of the university.",106144
100,"Muslim Student Association","Identity","The purpose of Muslim Student Association (MSA) is to coordinate Islamic worship and holy day services. MSA's function is to foster an environment wherein Muslims can interact with each other through a variety of social, educational, and religious activities. MSA aims to reach out to other faiths in the spirit of understanding service and cooperation. MSA intends to service the broader campus community, Muslim and non-Muslim alike.",33085
101,"National Association for Music Education","Education","National Association for Music Education (NAfME) is a club through Xavier University and is affiliated with the National Association of Music Education. NAfME aims to bring music to all people and enhance their education, as musicians and teachers. NAfME is open to all music majors and minors.",60123
102,"National Association of Black Accountants","Business","The Xavier University Student Chapter of the National Association of Black Accountants (NABA) addresses the professional needs of each member. NABA strives to build leadership and awareness, for the importance of diversity, in a business environment. NABA is eager to stay informed, committed, and successful throughout professional development, and they continue to grow exponentially in the business world.",58174
103,"National Pan-Hellenic Council","Identity","Xavier's chapter of The National Pan-Hellenic Council (NPHC) is currently composed of five Greek letter Sororities and Fraternities: Alpha Phi Alpha Fraternity, Inc., Alpha Kappa Alpha Sorority, Inc., Delta Sigma Theta Sorority, Inc., Phi Beta Sigma Fraternity, Inc., and Sigma Gamma Rho Sorority, Inc. NPHC promotes interaction through forums, meetings, and other mediums for the exchange of information, and engages in cooperative programming and initiatives through various activities and functions.",33450
104,"Outdoor Club","General Interests","Outdoor Club offers day and overnight trips for all students interested in exploring the great outdoors. Past trips include: backpacking, white water rafting, indoor rock climbing, day hikes, kayaking, and much more.",33183
106,"Pershing Rifles","General Interests","Pershing Rifles (Battery G-1) is a unit of the National Society of Pershing Rifles. Battery G-1 is a military-oriented, honors fraternity that stresses excellence in military science, bearing, leadership, drill and ceremony. Membership is open to any Xavier student: military, civilian, male, or female of any racial or ethnic background. Pershing Rifles' name is derived from the late General of the Armies, John Joseph Pershing.",33088
107,"Physics Club","STEM","The Physics Club exists to provide events and service opportunities that both explore and promote interests in physics to majors, minors and the entire campus community. Beyond the task of promoting physics, these events and gatherings are meant to develop a sense of friendship and growth in all avenues. The Physics Club also supports the Xavier Chapter of Sigma Pi Sigma, the national Physics Honor Society.",33428
108,"Pi Sigma Alpha - Political Science Honors Society","History, Law & Politics","Pi Sigma Alpha, the National Political Science Honor Society, is the only honor society for college and university students of government in the United States. The number of Pi Sigma Alpha chapters on campuses across the country is rapidly approaching 700. Pi Sigma Alpha is a member of the Association of College Honor Societies. Pi Sigma Alpha strives to recognize excellence in academic achievement by college and university students in the fields of political science, government, international and public affairs; to stimulate scholarship and interest in political science; to promote worthwhile curricular and extracurricular activities related to political science; to promote civil dialog; and to engage in any other activities that further these purposes.",66959
109,"Political Science Club","History, Law & Politics","The mission of the Political Science Club is to give students a non-partisan platform to discuss politics and social issues, as well as host guest speakers and other events in service of educating the student body and informing students interested in Political Science of careers in the field.",33383
110,"Pre-Dental Society","Health & Wellness","The Pre-Dental Society is a support group for students who are Pre-Dental. Pre-Dental Society provides knowledge, volunteer opportunities, and observation opportunities in the dental field.",34645
